AT,AP,AH,AFDP,GTEP,TIT,TAT,CDP,TEY,CO,NOX
25.809,1008.7,80.764,4.771,30.427,1100.0,545.47,13.142,147.31,1.4838,52.08
14.692,1016.5,82.267,2.6097,23.244,1063.5,550.16,11.129,121.16,1.8454,65.329
27.583,1014.2,51.998,4.6531,30.332,1100.0,544.65,13.276,145.24,1.2797,65.749
23.827,1008.5,92.834,3.972,25.154,1078.5,550.29,11.899,129.05,1.2221,41.301
24.575,1011.5,65.525,3.3785,22.294,1065.9,550.34,11.31,119.87,2.512,50.649
18.553,1011.7,88.379,3.6636,25.298,1090.3,550.08,12.079,134.72,0.86679,67.264
12.353,1015.3,82.138,4.2523,32.298,1099.9,532.02,13.786,156.92,1.2737,73.077
28.535,1011.9,53.645,4.4689,30.505,1100.1,542.9,13.34,149.26,1.8868,55.239
28.557,1010.3,42.639,4.1793,26.125,1095.0,549.92,12.148,133.75,0.38966,67.054
21.095,1003.6,83.129,3.1728,20.962,1064.3,550.01,10.842,115.99,1.4783,59.82
20.865,1016.2,84.957,3.4332,19.732,1057.1,550.19,10.401,109.76,4.8622,56.905
22.08,1006.2,82.358,3.7549,25.388,1089.9,549.87,12.165,134.31,0.35192,62.961
14.999,1016.4,67.109,3.1572,22.825,1071.2,550.06,11.49,126.27,2.835,57.397
14.903,1024.2,92.747,4.7063,26.473,1097.9,549.55,12.419,141.34,1.0892,71.751
23.837,1016.5,63.716,3.8545,27.648,1096.4,549.72,12.671,141.88,1.7198,54.144
21.908,1009.0,87.045,3.736,25.154,1089.2,549.65,11.91,133.22,0.64748,62.932
18.941,1017.0,78.842,2.6289,17.94,1038.1,549.32,10.053,100.94,6.8556,62.632
24.317,1003.7,92.44,4.247,23.383,1068.9,549.92,11.442,121.85,2.1956,47.717
7.5426,1016.7,85.949,3.8674,19.886,1042.3,538.95,10.578,112.0,6.4334,90.075
11.349,1019.9,100.15,4.2576,33.036,1099.9,530.35,13.884,158.2,0.91146,71.69
24.089,1009.6,94.457,4.0253,20.157,1059.2,550.01,10.669,110.25,4.4405,46.177
12.566,1005.1,87.458,2.5051,21.461,1056.3,549.94,10.794,117.07,2.5463,65.694
28.47,1012.4,58.746,4.4436,30.2,1100.1,544.14,13.3,147.94,1.5526,57.719
24.748,1010.9,57.661,3.7165,25.899,1085.9,550.09,12.167,135.08,1.2118,53.869
12.06,1011.4,79.677,3.0806,23.957,1074.8,549.81,11.728,130.32,3.6064,67.006
33.388,1005.9,34.514,4.268,29.668,1099.6,546.68,13.063,146.55,1.8112,55.89
26.781,1014.4,61.734,4.6936,26.709,1095.0,548.71,12.465,135.66,0.80264,72.462
28.392,1015.5,49.149,4.1469,26.042,1094.6,549.94,12.233,133.72,0.97952,66.966
12.767,1001.2,88.172,6.1001,31.657,1099.4,535.08,13.495,155.96,0.79939,72.354
11.684,1028.8,65.379,3.1284,21.28,1062.4,549.92,11.124,120.1,3.8244,63.816
25.123,1007.4,93.317,4.3187,25.953,1091.5,550.25,12.068,134.3,1.788,60.343
15.27,999.93,65.554,2.9997,24.49,1085.7,549.66,11.933,134.45,1.3198,77.549
20.314,1022.4,78.722,4.1428,32.064,1099.9,538.66,13.718,154.99,1.2006,80.166
31.815,1010.9,57.819,4.1221,24.181,1073.3,550.04,11.664,121.45,2.2693,50.559
11.624,1029.0,74.077,2.9583,20.497,1055.5,547.81,10.833,116.28,6.1208,70.535
11.329,1029.5,78.334,2.8485,18.571,1016.7,530.68,10.179,100.64,6.3127,95.85
17.799,1014.6,81.827,3.881,21.938,1070.9,550.07,11.205,120.88,3.1131,61.476
10.214,1014.5,79.687,4.8653,26.79,1097.9,549.79,12.453,144.64,0.55164,84.368
18.374,1014.8,82.243,4.5119,24.851,1088.6,549.92,12.116,133.76,1.4108,70.107
18.516,1013.6,86.071,3.3285,19.855,1057.9,549.95,10.512,110.9,4.7643,62.297
20.222,1009.6,79.557,3.8454,22.691,1074.2,550.0,11.297,123.0,3.519,62.687
11.141,1009.4,87.916,4.3267,24.552,1086.4,550.36,11.941,134.73,1.728,77.648
21.659,1021.7,75.137,3.7838,23.737,1082.9,550.22,11.815,127.41,1.5662,63.452
9.2391,1027.1,82.041,3.7642,23.355,1084.7,549.96,11.755,133.71,1.6985,77.943
20.472,1008.4,80.4,5.0838,28.701,1099.1,549.27,12.949,144.72,1.4466,61.226
9.3003,1027.1,81.169,4.1972,23.805,1086.4,549.98,11.956,133.66,1.791,82.634
25.108,1018.5,69.832,3.5867,23.239,1072.7,550.09,11.622,124.13,2.795,47.244
5.1529,1023.2,87.517,3.8795,23.053,1082.8,549.96,11.721,132.67,0.98758,81.969
3.3332,1017.8,82.775,5.8884,36.917,1100.0,513.29,15.043,174.4,1.6371,66.687
6.8955,1017.8,95.46,2.9272,23.704,1084.9,550.0,11.863,134.57,1.7659,77.187
15.055,1000.5,92.418,3.071,22.074,1057.5,549.67,10.999,119.19,1.9894,56.534
21.879,1002.3,81.471,4.303,28.287,1089.5,545.94,12.626,139.98,1.7124,52.876
24.066,1006.6,45.307,4.8711,32.107,1100.0,532.92,13.671,156.03,1.2458,57.037
18.27,1013.5,66.963,3.6823,26.05,1081.7,550.16,12.011,134.8,1.175,63.16
9.9694,1020.4,78.349,4.0882,30.319,1090.4,539.18,13.234,151.83,0.66367,72.737
9.8956,1016.0,89.676,2.5671,19.268,1041.2,540.12,10.445,109.05,12.587,105.09
27.349,1013.8,65.25,3.9967,20.651,1061.6,549.97,10.699,110.73,3.6757,50.599
26.48,1015.4,53.177,6.8152,31.423,1100.0,535.01,13.606,152.69,1.4927,63.858
30.707,1003.8,73.147,4.7913,29.192,1099.2,549.6,12.865,143.53,1.9888,55.264
11.305,1021.8,87.493,2.9968,23.998,1085.9,549.89,11.914,133.92,1.5647,73.143
30.483,1009.9,50.357,5.856,28.553,1098.6,544.91,12.83,141.89,1.0632,63.089
25.012,1010.9,76.574,4.7017,25.511,1081.9,549.99,12.084,130.33,1.8871,54.05
10.556,1010.2,87.115,5.1956,29.963,1100.1,537.72,13.426,154.98,0.97396,71.584
17.685,1009.7,98.851,3.1363,19.278,1052.6,548.54,10.434,108.98,7.8492,65.206
25.957,1013.4,70.968,3.6046,20.296,1059.5,550.08,10.59,109.97,2.6531,47.374
20.291,1011.0,88.766,3.5873,19.808,1057.8,549.99,10.583,110.55,4.8541,56.604
18.974,1002.8,94.222,3.8162,24.655,1087.1,550.04,11.916,133.69,0.76451,62.876
22.039,1005.9,97.97,5.1117,29.846,1099.9,546.66,13.119,146.6,1.1843,53.469
21.099,1009.2,59.118,3.5897,24.357,1078.4,549.65,11.874,129.94,1.9079,51.766
28.515,1011.6,67.14,3.9359,25.272,1079.5,549.85,11.858,127.8,2.6341,50.487
3.8807,1007.4,67.98,3.0151,22.973,1071.3,549.97,11.491,129.7,3.6365,80.679
9.3123,1023.7,77.46,4.4959,33.716,1100.1,532.98,14.146,163.78,1.5853,77.993
1.429,1019.2,70.8,2.6227,20.523,1052.2,549.6,10.579,113.41,5.0132,85.733
